code_externe,nom,categorie,prix_vente,unite,origine,taux_tva
PFFEBARGA,BARQUETTE GALETTE 270G,FLLTAGE,10.084,pièce,fabrique,19
CU111,MAKAROUNI AU POULET,PLAT,11.345,pièce,fabrique,19
CUI11,MAKAROUNI AU STECK,PLAT,12.185,pièce,fabrique,19
CU11,MAKAROUNI AU THON,PLAT,12.185,pièce,fabrique,19
PNT097,16 EMBOUTS DE BUCHE CHOCOLAT,Non classé,16.9,pièce,achete,19
GEMF,2000FEUILLES,GATIND1,3.361,pièce,fabrique,19
SE19,25,Non classé,21.008,kg,fabrique,19
GE137,3 CHOCOLAT IND,GATIND1,5.462,pièce,fabrique,19
DIV15,AGRUMES,Non classé,4.673,litre,achete,7
GEALIANCE 12,ALIANCE 12 PER,ENTREMET,78.151,pièce,fabrique,19
GEAL6,ALIANCE 6P,ENTREMET,29.412,pièce,fabrique,19
GEALIANCE,ALIANCE 8P,ENTREMET,52.101,pièce,fabrique,19
PFALLIANCE,ALLIANCE CARAMEL,Non classé,0,pièce,fabrique,19
GE138,ALLIANCE IND,GATIND1,4.202,pièce,fabrique,19
PFEFAMEL,AMANDE ENROBEE AU LAIT,EPFINE,12.15,pièce,fabrique,7
PFEFAMELPM,AMANDE ENROBEE AU LAIT PM,EPFINE,4.622,pièce,achete,19
PFEFADEN,AMANDE ENROBEE NOIR,EPFINE,11.682,pièce,fabrique,7
PFEFADENPM,AMANDE ENROBEE NOIR PM,EPFINE,4.622,pièce,fabrique,19
PEEFAMSA,AMANDES SALEES,EPFINE,9.664,pièce,fabrique,19
PEEFAMSAPM,AMANDES SALEES PM,EPFINE,3.782,pièce,fabrique,19
SE9,AMANDINE,FLLTAGE,4.202,pièce,fabrique,19
SE90,AMANDINE/ KG,FLLTAGE,27.731,kg,fabrique,19
GEAM12,AMBIANCE 12P,ENTREMET,73.109,pièce,fabrique,19
GEAMB48,AMBIANCE 60*40,ENTREMET,267.227,pièce,fabrique,19
GEAMB6,AMBIANCE 6P,ENTREMET,33.613,pièce,fabrique,19
GEAM8,AMBIANCE 8P,ENTREMET,44.538,pièce,fabrique,19
GE121,AMBIANCE IND,GATIND1,7.059,pièce,fabrique,19
GE120,AMBIANCE30*30,ENTREMET,103.361,kg,fabrique,19
MPAMTURC,AMIDON TURC,Non classé,55.0,carton,achete,19
SA38,AMUSE GUEULE ANCHOIS,SALE,27.731,kg,fabrique,19
SA37,AMUSE GUEULE FROMAGE,SALE,27.731,kg,fabrique,19
PF ANCHOIS,ANCHOIS,Non classé,10.28,pièce,achete,7
MPCONCANANAS,ANNANAS DE 1K,Non classé,4.915,pièce,achete,19
BOISSAPLA,APLA  BT 33CL,BOISSONS,19.716,pièce,achete,19
GTS13,ARTICHAUX,Non classé,58.824,kg,fabrique,19
GTS2910,ASSIDA AMANDE IND,GTV,6.303,pièce,fabrique,19
GTS281,ASSIDA GM NOISETTE,GTV,19.328,pièce,fabrique,19
GTS282,ASSIDA GM NOIX,GTV,15.126,pièce,fabrique,19
GTS283,ASSIDA GM PISTACHE,GTV,16.807,pièce,fabrique,19
GTS284,ASSIDA GM ZGOUGOU,GTV,19.328,pièce,fabrique,19
GTS280,ASSIDA GM ZGOUGOU SAN DECORATION,GTV,12.605,pièce,fabrique,19
GTS28,ASSIDA NOISETTE IND,GTV,9.664,pièce,fabrique,19
GTS29111,ASSIDA NOIX IND,GTV,7.983,pièce,fabrique,19
GTS300,ASSIDA PISTACHE IND,GTV,12.185,pièce,fabrique,19
GTS2911,ASSIDA SESAME IND,GTV,4.202,pièce,fabrique,19
GTS29,ASSIDA ZGOUGOU IND,GTV,9.664,pièce,fabrique,19
ASSCOPSE,ASSIETTE COMPOSE,Non classé,3.782,pièce,fabrique,19
SE120,ASSORTEMENT 20D,Non classé,27.731,kg,fabrique,19
SE199,ASSORTIMENT  SEC,GTXSEC,27.731,kg,fabrique,19
GE2722,BABA,Non classé,2.101,pièce,fabrique,19
PFFEBAGFJ,BAGUETTE FARCIE JAMBON,SANDWICH,4.202,pièce,fabrique,19
PFFEBAGT,BAGUETTE FARCIE THON,SANDWICH,5.462,pièce,fabrique,19
SA102,BAGUETTE PIZZA,SALE,2.655,pièce,fabrique,19
GT5,BAKLAOUA AMANDE,GTV,60.504,kg,fabrique,19
GT3,BAKLAOUA BEY,GTV,60.504,kg,fabrique,19
GTS8,BAKLAOUA BEY PIGNON,GTV,71.429,kg,fabrique,19
GTS9,BAKLAOUA BEY PISTACHE,GTV,71.429,kg,fabrique,19
GT4,BAKLAOUA BOURGEOIS,GTV,88.235,kg,fabrique,19
GT6,BAKLAOUA NOISETTE,GTV,77.311,kg,fabrique,19
GTS7,BAKLAOUA NOIX,GTV,71.429,kg,fabrique,19
GTS6,BAKLAOUA PIGNION,GTV,201.681,kg,fabrique,19
GTS5,BAKLAOUA PISTACHE,GTV,138.655,kg,fabrique,19
GT2,BAKLAOUA PISTACHE 100%,GTV,126.05,kg,fabrique,19
PFBAKTURPISSPE,BAKLAOUA TURC PIST,GTV,71.429,kg,fabrique,19
BARBAK,BAKLAWA AMANDE 850G,GTV,46.134,pièce,fabrique,19
PFBAKTURC,BAKLAWA TURC FRUIT SEC,GTV,52.101,kg,fabrique,19
PFBAKTURPIS,BAKLAWA TURC PISTACH,GTV,71.429,kg,fabrique,19
GTBT,BAKLAWA TURQUE,GTV,52.101,kg,fabrique,19
PFCH4,BALLOTIN CHOCOLAT 200,CHOCOLAT,13.866,pièce,fabrique,19
PFCH44,BALLOTIN CHOCOLAT400G,CHOCOLAT,18.487,pièce,fabrique,19
GTS551,BANADEJ POULET,FLLTAGE,1.681,pièce,fabrique,19
GTS355,BANADHEJ POULET,SALE,41.176,kg,fabrique,19
GTS88,BANADHEJ VIANDE,SALE,2.521,pièce,fabrique,19
GTS35,BANADHJ OLIVE,SALE,15.929,kg,fabrique,19
GTS34,BANADHJ VIANDE,SALE,53.782,kg,fabrique,19
LIBARKOUN,BARQUETTE  KOUNAFA,RAMADAN,7.983,pièce,fabrique,19
PFFEBARBARAS,BARQUETTE ASSORTEMENT SEC,FLLTAGE,12.605,pièce,achete,19
PFGTBA,BARQUETTE BAKLAWA 400G,GTV,26.891,pièce,fabrique,19
PFEFBARBC,BARQUETTE BEBE CHOCOLAT 150G,FLLTAGE,4.622,pièce,fabrique,19
PFEFBARBC350,BARQUETTE BEBE CHOCOLAT 350G,FLLTAGE,10.084,pièce,fabrique,19
BARBIS,BARQUETTE BISCUIT 1KG,GTV,33.613,pièce,fabrique,19
BARBISPM,BARQUETTE BISCUIT 400G,GTV,15.126,pièce,fabrique,19
PFFEBARBD,BARQUETTE BISCUIT DOIGT,FLLTAGE,7.143,pièce,fabrique,19
BARBRAZ,BARQUETTE BRAZIA 245G,FLLTAGE,7.143,pièce,fabrique,19
PFGTBARCO,BARQUETTE CAAK OURKA 400G,GTV,26.891,pièce,fabrique,19
PFGTBARCH,BARQUETTE CHABAKEYA,Non classé,9.664,pièce,fabrique,19
PFGTBARDEPM,BARQUETTE DEBLA,GTV,7.731,pièce,fabrique,19
EMBBARDDOR,BARQUETTE DOREE,Non classé,0,pièce,achete,19
PFEFBARHA,BARQUETTE HALKOUM 350G,GTV,12.605,pièce,fabrique,19
PFEFBARHAFJ,BARQUETTE HALKOUM FRUIT SEC 350G,GTV,20.168,pièce,fabrique,19
PFEFBARHAFS,BARQUETTE HALKOUM FRUITS SECS 500G,EPFINE,0,pièce,fabrique,19
GTS33,BARQUETTE HOMS 650G,GTV,20.168,pièce,fabrique,19
BARCAAK,BARQUETTE KAAK OURKA 500G,GTV,29.328,pièce,fabrique,19
PFGTBARMAA,BARQUETTE MAASSEM,Non classé,0,pièce,fabrique,19
PFGTBARMA,BARQUETTE MAKROUDH,GTV,15.126,pièce,fabrique,19
PFPEBARMC,BARQUETTE MINI CROQUANT 150G,GATIND1,4.622,pièce,fabrique,19
PFFEBARPA,BARQUETTE PALMIER 200G,FLLTAGE,6.303,pièce,fabrique,19
SA12,BARQUETTE PATE SALE GM,FLLTAGE,0.63,pièce,fabrique,19
SA13,BARQUETTE PATE SALE MM,FLLTAGE,0.546,pièce,fabrique,19
SE80,BARQUETTE PATE SUCRE BOUCHE,FLLTAGE,0.247,pièce,fabrique,19
PFPEBARPF,BARQUETTE PETITS FOURS,GATIND1,15.966,pièce,fabrique,19
PFEFBARPFN,BARQUETTE PETITS FOURS NOISETTE,EPFINE,20.168,pièce,achete,19
PFFEBARSA,BARQUETTE SABLE 360G,FLLTAGE,10.504,pièce,fabrique,19
PFFEBARSAL,BARQUETTE SALE,FLLTAGE,12.605,pièce,fabrique,19
PFGTBARSA,BARQUETTE SAMSA AMANDE,GTV,14.286,pièce,fabrique,19
PFGTBARSS,BARQUETTE SAMSA SESAME,GTV,8.403,pièce,fabrique,19
PFGTBARYO,BARQUETTE YOUYOU 390G,Non classé,8.235,pièce,fabrique,19
PFBARRE CHOCOLAT,BARRE CHOCOLAT DUPLO,Non classé,2.7,pièce,achete,19
LI7,BASBOUSSA,RAMADAN,5.042,kg,fabrique,19
SABATBOUTHON,BATBOUT AU THON,FLLTAGE,1.261,pièce,fabrique,19
SABATBOUT,BATBOUT POULET,SALE,1.327,pièce,fabrique,19
GE28111,BEIGNET KG,GATIND2,39.496,kg,fabrique,19
GE2811,BEIGNET VARIE,FLLTAGE,2.101,pièce,fabrique,19
CU40,BELLAH ECHAM,Non classé,12.605,kg,fabrique,19
1005,BEURRE DE CACAHUETES,EPFINE,11.9,kg,achete,19
JE2002,BIROCHE CHOCOLAT,FLLTAGE,2.101,pièce,fabrique,19
JE2001,BIROCHE GM,FLLTAGE,5.042,pièce,fabrique,19
SE34,BISCUIT BEBE,GTXSEC,12.605,kg,fabrique,19
PFBISCBES,BISCUIT BESBES,Non classé,9.37,kg,achete,19
SE33,BISCUIT CHAMPAGNIE,GTXSEC,10.924,kg,fabrique,19
SE43,BISCUIT CHOCO,GTXSEC,0,kg,achete,19
SE44,BISCUIT MINI CHOCO,GTXSEC,4.622,kg,achete,19
SE48,BISCUIT MINI SESAME,GTXSEC,6.59,pièce,achete,19
SE40,BISCUIT NOISETTE,GTXSEC,25.21,kg,achete,19
SE41,BISCUIT SESAME,GTV,27.731,kg,fabrique,19
SE42,BISCUIT SESAME,GTXSEC,30.801,kg,achete,19
PFBISC,BISCUIT SESAME NOISETTE,Non classé,0,kg,fabrique,19
SFBISCUIT,BISCUIT SOLEIL,Non classé,0,kg,fabrique,19
GT25,BJAOUIA NOISETTE,GTV,77.311,kg,fabrique,19
GTS11,BJAOUIA PIGNION,Non classé,58.824,kg,fabrique,19
GTS10,BJAOUIA PISTACHE,Non classé,138.655,kg,fabrique,19
GTS12,BJAOUIA TRIANGLE,Non classé,138.655,kg,fabrique,19
BOISSBOGACID,BOGA CIDRE,BOISSONS,298.752,pièce,achete,19
BOISSBOG,BOGA LEMON LIGHT  33 CL,BOISSONS,19.716,pièce,achete,19
BOISSON VARIEE,BOISSON,BOISSONS,2.9,pièce,achete,19
BOISSON,BOISSON  VARIE,Non classé,2.079,pièce,achete,7
PFGTBOHOPM,BOITE BAYT EL HOMS MM 850G,GTV,26.05,pièce,fabrique,19
PFGTBOHOPM1,BOITE BAYT ET HOMS PM 430G,GTV,13.025,pièce,fabrique,19
PFEFBODANAMM,BOITE DATTES NATURELLES MM,Non classé,17.143,pièce,fabrique,19
PFEFBODANA,BOITE DATTES NATURELLES PM,GTV,6.218,pièce,fabrique,19
PFGTBODNGM,BOITE DATTES NOMADES GM 920G,GTV,69.748,pièce,fabrique,19
PFGTBODNPM,BOITE DATTES NOMADES MM 500G,GTV,36.134,pièce,fabrique,19
PFGTBODNPM1,BOITE DATTES NOMADES PM 230G,GTV,17.647,pièce,fabrique,19
PFGTBODAGM,BOITE DOUCEURS AMANDES GM 960G,GTV,52.941,pièce,fabrique,19
PFGTBODAPM,BOITE DOUCEURS AMANDES MM 480G,GTV,26.891,pièce,fabrique,19
PFGTBODAPM1,BOITE DOUCEURS AMANDES PM 270G,GTV,15.126,pièce,fabrique,19
GT22,BOITE GTV 400 G,GTV,42.017,kg,fabrique,19
PFCOFDATTE,BOITE JEBBA DATTE BRANCHEE 500GRS,EPFINE,15.0,boîte,achete,19
PFGTBOLIGM,BOITE LIBANAIS GM,GTV,69.748,pièce,fabrique,19
PFGTBOLIPM,BOITE LIBANAIS MM,GTV,54.622,pièce,fabrique,19
PFGTBOLINGM,BOITE LIBANAIS NOISETTE GM,GTV,56.303,pièce,fabrique,19
PFGTBOLINPM,BOITE LIBANAIS NOISETTE PM,GTV,31.933,pièce,fabrique,19
PFGTBOLIPGM,BOITE LIBANAIS PISTACHE GM,GTV,68.908,pièce,fabrique,19
PFGTBOLIPPM,BOITE LIBANAIS PISTACHE PM,Non classé,38.655,pièce,achete,19
PFGTBOLIPM1,BOITE LIBANAIS PM,GTV,18.487,pièce,fabrique,19
PFGTBOPOGM,BOITE PRESTIGE ORIENTAL GM 650G,GTV,56.303,pièce,fabrique,19
